一	yi1|yi2|yi4
胖	pang4|pan2|pan4
柳	liu3
阔	kuo4
吹	chui1|chui4
丘	qiu1
趋	qu1
锦	jin3
颜	yan2
悬	xuan2
陶	tao2|yao2|dao4
拳	quan2
诚	cheng2
尺	chi3|che3
晓	xiao3
插	cha1|zha3
蒋	jiang3
艇	ting3
勤	qin2|qi2
穴	xue2|jue2
摄	she4
燕	yan4|yan1
垂	chui2|zhui4
罚	fa2
辆	liang4
戒	jie4
稀	xi1
腾	teng2
粗	cu1
袋	dai4
绘	hui4
炎	yan2|yan4|tan2
氏	shi4|zhi1|jing1
肩	jian1|xian2
枝	zhi1|qi2
狂	kuang2|jue2
泊	po1|bo2|po4
估	gu1|gu4
杭	hang2|kang4|kang1
扑	pu1|pi4
臂	bi4|bei5
哲	zhe2
寡	gua3
偷	tou1
懂	dong3
琴	qin2
悲	bei1
盾	dun4|shun3|yun3
炒	chao3
稍	shao1|shao4
矛	mao2
愈	yu4
籍	ji2|jie4
颁	ban1
吐	tu3|tu4
呆	dai1|bao3|ai2
违	wei2
亭	ting2
眉	mei2
撞	zhuang4
贷	dai4
刊	kan1
巡	xun2|yan2|shun4
屈	qu1|jue2|que4|ju2
堆	dui1|zui1
曼	man4
饰	shi4
碎	sui4
滚	gun3
悉	xi1
寄	ji4
浜	bang1|bin1
迟	chi2
描	miao2|mao4
污	wu1
辅	fu3
魔	mo2
烦	fan2
鼻	bi2
盗	dao4
餐	can1|sun1
幼	you4|yao4
凉	liang2|liang4
仗	zhang4
冈	gang1
澳	ao4|yu4
驾	jia4
銆	mo4
菌	jun1|jun4
肚	du4|du3
肃	su4
爸	ba4
仰	yang3|ang2
抚	fu3
慈	ci2
扶	fu2|pu2
盆	pen2
仿	fang3|pang2
炼	lian4
纲	gang1
倘	tang3|chang2
碗	wan3
杰	jie2
忧	you1|you4
惜	xi1
扫	sao3|sao4
暂	zan4
祝	zhu4|zhou4|chu4
跨	kua4|ku4|kua1|kua3
渔	yu2
宾	bin1
漫	man4
寿	shou4
猪	zhu1
涌	yong3|chong1
凝	ning2
邻	lin2
赴	fu4
恰	qia4
劝	quan4
仇	chou2|qiu2|ju1
践	jian4
顷	qing3
赋	fu4
悄	qiao1|qiao3|qiao4
莱	lai2
拟	ni3
贤	xian2
愤	fen4
姆	mu3
乏	fa2
轰	hong1
粒	li4
逼	bi1
傅	fu4|fu1
陕	shan3
昆	kun1|hun2|kun4
溶	rong2
葬	zang4
燃	ran2
魂	hun2
挺	ting3|ting2
腊	la4|xi1
耐	nai4|neng2
犹	you2|you4
辉	hui1
乳	ru3
陪	pei2
颇	po3|po1
斜	xie2|xia2|cha2|ye2
棋	qi2|ji1
殑	qing2|jing1|jing4
熊	xiong2
浅	qian3|jian1
沈	shen3|chen2|tan2
姊	zi3
返	fan3
翼	yi4
丧	sang4|sang1
拖	tuo1|chi3
惨	can3
俊	jun4|shun4|dun1
驱	qu1
袖	xiu4
惠	hui4
涂	tu2|chu2|ye2
添	tian1|tian4
牵	qian1
咸	xian2|jian3|jian1
详	xiang2
碰	peng4
割	ge1
侯	hou2|hou4
纤	xian1|qian4
柔	rou2
档	dang4
糊	hu2|hu1|hu4
岂	qi3|kai3
跪	gui4
拒	ju4|ju3
覆	fu4
绣	xiu4
吓	xia4|he4|ha4
宿	su4|xiu3|xiu4|qi1
偶	ou3
揭	jie1|qi4|he2
赖	lai4
烤	kao3
卢	lu2
娃	wa2|wa1|gui4
颗	ke1
邮	you2
扇	shan4|shan1
伐	fa2
循	xun2
衰	shuai1|suo1|cui1
弦	xian2
凯	kai3
羽	yu3|hu4
枚	mei2
帅	shuai4
锁	suo3
疏	shu1
搭	da1|ta4
俱	ju4|ju1
帐	zhang4
胶	jiao1|xiao2
赫	he4|shi4
鐨	fei4
埋	mai2|man2
蒸	zheng1
壳	ke2|qiao4
剉	cuo4
彼	bi3
脏	zang4|zang1
箱	xiang1
浙	zhe4
弯	wan1
瓜	gua1
挡	dang3|dang4
拱	gong3|ju2
筹	chou2
疆	jiang1|jiang4
肿	zhong3
膜	mo2
刷	shua1|shua4
杆	gan1|gan3|gan4
凶	xiong1
债	zhai4
甜	tian2
泡	pao4|pao1|pao2
玄	xuan2|xuan4
贾	jia3|gu3
谱	pu3
夹	jia1|ga1|jia2
乾	qian2|gan1
遣	qian3|qian4
薪	xin1
灌	guan4|huan4
咬	yao3|jiao1|yao1|jiao3
尘	chen2
填	tian2|tian3|chen2|zhen4
廊	lang2
钻	zuan1|zuan4
丛	cong2
狼	lang2|lang3|lang4|hang3
牢	lao2|lao4|lou2
脊	ji2|ji3
熙	xi1|yi2
卒	zu2|cu4|cui4
碑	bei1
漠	mo4
躲	duo3
削	xue1|xiao1|qiao4|shao4
徽	hui1
踏	ta4|ta1
贺	he4
朵	duo3
遵	zun1
狠	hen3|yan2|ken3|hang3
菲	fei1|fei3|fei4
撒	sa1|sa3
扰	rao3|you4
蛇	she2|yi2|tuo2|chi2
锡	xi1
炉	lu2
纹	wen2|wen4
匹	pi3
亏	kui1|yu2
鉴	jian4
慕	mu4
跌	die1|die2|tu2
慌	huang1|huang3|huang5
穆	mu4
邀	yao1
芳	fang1
爬	pa2
豫	yu4|xie4|shu1
吾	wu2|yu2|ya2
奸	jian1|gan1
棒	bang4
淮	huai2
捷	jie2|qie4|cha1
耕	geng1
艘	sou1
齿	chi3
醉	zui4
脂	zhi1|zhi3
兽	shou4
滴	di1
盈	ying2
卵	luan3|kun1
滋	zi1|ci2|xuan2
柴	chai2|ci1|zhai4|zi4
溪	xi1|qi1
妃	fei1|pei4
浠	xi1
碍	ai4
瓶	ping2
辩	bian4
遂	sui4|sui2
怨	yuan4|yun4
拨	bo1
肌	ji1|ji4
俘	fu2
挖	wa1
恒	heng2
励	li4
鸣	ming2
肝	gan1
腔	qiang1|kong4
偿	chang2
秒	miao3
拦	lan2
允	yun3|yuan2
塑	su4
拆	chai1|che4|chi4|ca1
靖	jing4
耗	hao4|mao2|mao4
凌	ling2|ling4
披	pi1
胁	xie2
吏	li4
纽	niu3
烂	lan4
尝	chang2
垸	yuan4|huan2
辟	pi4|bi4|mi3|pi1
耶	ye2|ye1|xie2
艰	jian1
佩	pei4
敦	dun1|dui1|tuan2|diao1|dun4|dao4|zhun3|tun1|dui4|tun2
疼	teng2
荐	jian4
厘	li2|chan2
匠	jiang4
柏	bai3|bo2|bo4
悠	you1
壤	rang3
拾	shi2|she4|jie4
乔	qiao2
轴	zhou2|zhou4
妖	yao1|jiao3
喷	pen1|pen4
掩	yan3|yan4
璃	li2
孟	meng4
轨	gui3
歇	xie1|ya4
猜	cai1
晨	chen2
坊	fang1|fang2
桑	sang1
堤	di1|ti2|di3|shi2|wei2
畅	chang4
瞎	xia1
氨	an1
辨	bian4|bian3|ban4|pian4
鞋	xie2|wa1
昏	hun1|hun4
恭	gong1
畜	chu4|xu4
浩	hao4|gao3|ge2
迪	di2
雾	wu4
丢	diu1
咨	zi1
擦	ca1
窝	wo1
洁	jie2|ji2
飘	piao1
捉	zhuo1
搬	ban1|su4
奈	nai4
肤	fu1
愁	chou2|qiao3|jiu1
砖	zhuan1
辣	la4
幽	you1
嘛	ma5|ma2
赢	ying2
藕	ou3
挤	ji3
舒	shu1|yu4
狮	shi1
耀	yao4
诊	zhen3
扣	kou4
篮	lan2
尿	niao4|sui1
唤	huan4
梯	ti1|ti2
勾	gou1|gou4
霍	huo4|he4|suo3
舌	she2|gua1
侠	xia2
筋	jin1|qian2
枢	shu1
屏	ping2|bing3|bing4|bing1
衙	ya2|yu2|yu4
殷	yin1|yan1|yin3
栏	lan2
纠	jiu1
链	lian4
恋	lian4
惧	ju4
笼	long2|long3
寸	cun4|cun3
冶	ye3
弥	mi2
晃	huang3|huang4
叙	xu4
吊	diao4
哩	li1|li5|li4|li3|mai2|ying1
稿	gao3
娜	na4|nuo2
剥	bo1|bao1|pu1
拼	pin1|bing4
欺	qi1
榜	bang3|beng1|bang4|pang2|peng2
囊	nang2|nang1
汪	wang1|wang3|hong2
逆	ni4
骗	pian4
堪	kan1|chen3
猎	lie4|xi1|que4
棺	guan1|guan4
胎	tai1
俩	lia3|liang3
郊	jiao1
掘	jue2|ku1
匆	cong1
缝	feng4|feng2
乙	yi3|yi4|jue2
藻	zao3
携	xie2
慧	hui4
函	han2
辱	ru3
扯	che3
嫩	nen4
癌	ai2|yan2
悟	wu4
滩	tan1
祸	huo4
秉	bing3
慰	wei4
驰	chi2
狱	yu4
砍	kan3
糕	gao1
漏	lou4|lou2
吞	tun1|tian1
纬	wei3
茅	mao2
渠	qu2|ju4
催	cui1
踪	zong1
叛	pan4
浑	hun2
牲	sheng1
杖	zhang4
鞭	bian1
腺	xian4
邪	xie2|ya2|ye2|xu2|she2
欣	xin1
汝	ru3
碳	tan4
彭	peng2|pang2|bang1|peng1
咐	fu4|fu2
椒	jiao1
绳	sheng2
颈	jing3|geng3
漆	qi1|qie4
遥	yao2
夷	yi2
郁	yu4
斑	ban1
忆	yi4
阀	fa2
卑	bei1|bi3|bi4|pi2|ban1
宴	yan4
抑	yi4
逻	luo2
嫁	jia4
扭	niu3|chou3|zhou3|zhou4
胃	wei4
仔	zai3|zi3|zi1
恼	nao3
贪	tan1
兆	zhao4
庸	yong1|yong2
屽	han4|an4
僭	jian4|zen4
疯	feng1
侦	zhen1
鹰	ying1
驶	shi3
斩	zhan3
鹤	he4
猴	hou2
蜂	feng1
瘦	shou4
赐	ci4
闷	men4|men1
柄	bing3
椅	yi3|yi1
轿	jiao4
拓	tuo4|ta4|zhi2
扮	ban4|fen3|fen1|huo3
砂	sha1
傻	sha3
粘	zhan1|nian2
辐	fu2
啥	sha2|sha4
鏄	tuan2
伪	wei3
抛	pao1
玻	bo1
昂	ang2|yang4
圳	zhen4|quan3|chou2|huai2
侨	qiao2
吟	yin2|yin3|jin4
刃	ren4
饱	bao3
吕	lv3
玛	ma3
碱	jian3|xian2
冯	feng2|ping2
仓	cang1
钦	qin1
哼	heng1|hng5
庞	pang2
儒	ru2
叉	cha1|cha2|cha3|cha4
泄	xie4|yi4
臭	chou4|xiu4
艾	ai4|yi4
蓉	rong2
鼠	shu3
祯	zhen1
捧	peng3|feng4
舱	cang1
坝	ba4
芙	fu2
瘤	liu2
勃	bo2
敲	qiao1
帽	mao4
吻	wen3
契	qi4|xie4|qie4|jie2
舟	zhou1
夸	kua1|kua4|kua3
葡	pu2|bei4
剪	jian3
抖	dou3
霸	ba4|po4
艳	yan4
宸	chen2
聪	cong1
仆	pu1|pu2
躺	tang3|tang4
瑶	yao2
谦	qian1
炭	tan4
卧	wo4
袍	pao2|bao4
猫	mao1|miao2|mao2
珊	shan1
溜	liu1|liu4|liu2
漂	piao1|piao4|piao3|biao1
衔	xian2
苍	cang1
坑	keng1|kang4
串	chuan4|guan4|quan4
浆	jiang1|jiang4
碧	bi4
巷	xiang4|hang4
咽	yan4|yan1|ye4|yuan1
铸	zhu4
押	ya1|xia2|jia3
惩	cheng2
迈	mai4
锐	rui4
颤	chan4|zhan4
疲	pi2
滨	bin1
履	lv3
盒	he2|an1
宅	zhai2|che4|du4
喀	ka1|ke4|ke5
饿	e4
缠	chan2
翁	weng1|weng3
幻	huan4
逢	feng2|peng2|pang2
扁	bian3|pian1|bian1|pian2
旱	han4
罕	han3|han4
怜	lian2|ling2|ling3
姻	yin1
蓄	xu4
磷	lin2|lin4|lin3|ling2
惟	wei2|wei3
槸	yi4
帕	pa4|mo4
掠	lve4|lve3
稻	dao4
劫	jie2
撑	cheng1
姿	zi1|zi4
肾	shen4
胀	zhang4
慎	shen4|zhen4
哨	shao4|sao1|xiao1|xiao4|sao4
摔	shuai1
谨	jin3
鹅	e2
丑	chou3
塘	tang2
肺	fei4|pei4
镑	bang4
趁	chen4|zhen1|chen2|nian3|zhen3
蜀	shu3
兑	dui4|rui4|duo2
哦	o2|e2|o4
贞	zhen1
禧	xi3|xi1
葛	ge2|ge3
仲	zhong4
惑	huo4
蔡	cai4|sa4|ca1
踢	ti1|die2
妥	tuo3
筒	tong3|dong4|tong2
诞	dan4
禀	bing3
朴	pu3|piao2|po4|pu1|po1
祀	si4
饼	bing3
萄	tao2
狭	xia2
澶	chan2|dan4|zhan1
杩	ma4
赔	pei2
绵	mian2
诱	you4
卜	bo5|bu3|pu1
陀	tuo2|duo4
呵	he1|ha1|a1|a5|ke1|huo1|a2|a3|a4
抹	mo3|ma1|mo4
疫	yi4
辰	chen2
顽	wan2
蓬	peng2|peng4
摊	tan1
倡	chang4|chang1
浦	pu3
账	zhang4
矩	ju3
翠	cui4
煌	huang2
茂	mao4
畏	wei4|wei1|wei3
劣	lie4
氛	fen1
廉	lian2
鸭	ya1
瓷	ci2
戈	ge1
秩	zhi4
弗	fu2
悔	hui3
尉	wei4|yu4|yun4
挣	zheng1|zheng4
拐	guai3
鼎	ding3|zhen1
芦	lu2|lu3|hu4
睁	zheng1
脾	pi2|pai2|bi4|pi4
聊	liao2|liu2
株	zhu1
枯	ku1|gu1
纱	sha1
幺	yao1|mi4
冻	dong4
唇	chun2|zhen1|zhen4
茫	mang2|huang3
哀	ai1
芬	fen1
轩	xuan1
蛮	man2
醇	chun2
棍	gun4|hun4|ao1|gun3
晕	yun1|yun4
嫂	sao3
宙	zhou4
酷	ku4
郧	yun2
欠	qian4
稷	ji4|ze4
鹏	peng2
孕	yun4
槽	cao2|zao1
栖	qi1|xi1
吩	fen1|pen4
姚	yao2|tiao4|tao2|yao4
昭	zhao1|zhao4
罐	guan4
叠	die2
墩	dun1
盼	pan4|fen2
舆	yu2
芒	mang2|huang1|huang3|wang2
酬	chou2
斥	chi4|che4|zhe4
捐	juan1|yuan2
斋	zhai1
簡	jian3
眠	mian2|mian3|min3
脆	cui4
萧	xiao1
璋	zhang1
皱	zhou4
卿	qing1
蚀	shi2
淋	lin2|lin4
卓	zhuo2|zhuo1
翰	han4
钉	ding1|ding4
棣	di4|ti4|dai4
丫	ya1
宰	zai3
阐	chan3
翅	chi4
沃	wo4
挨	ai1|ai2
霖	lin2
哄	hong3|hong1|hong4
爵	jue2
涔	cen2|qian2|zan4
衫	shan1
逊	xun4
铭	ming2
戚	qi1|cu4
旺	wang4
硕	shuo4
擅	shan4
嫌	xian2
赌	du3
隋	sui2|duo4|tuo3|tuo1
肖	xiao4|xiao1
饶	rao2
沪	hu4
雇	gu4|hu4
罩	zhao4
煎	jian1|jian4|jian3
丐	gai4
掷	zhi4|zhi1
誓	shi4
摘	zhai1
竴	cun1
冤	yuan1
坤	kun1
屁	pi4
竭	jie2
屾	shen1
宛	wan3|yuan1|yun3|yu4
菱	ling2
厌	yan4
矮	ai3
潭	tan2|xun2|yin3|dan4
渊	yuan1
俺	an3|yan4
崖	ya2
氢	qing1
棚	peng2
喇	la3|la2|la1|la5
涵	han2|han4
裕	yu4
溃	kui4|hui4
堵	du3|zhe3|du1
媳	xi2
抄	chao1|suo1|chao4|chao3
鍙	hu4
怔	zheng1|zheng4
蒂	di4
肢	zhi1|shi4
瑜	yu2
泌	mi4|bi4
甫	fu3|fu1|pu3
檐	yan2|dan1
鏈	lian4|lian2
寂	ji4
颠	dian1
撰	zhuan4|xuan3|suan4
逝	shi4
霜	shuang1
羞	xiu1
铅	qian1|yan2
佐	zuo3
帖	tie1|tie3|tie4
硫	liu2|chu4
蹈	dao3
鍦	shi1|she2
瞬	shun4
痕	hen2|gen4
爽	shuang3|shuang1
挽	wan3
禅	chan2|shan4
娶	qu3|ju1|shu1
柯	ke1
屯	tun2|zhun1
韵	yun4
婴	ying1
悦	yue4
肴	yao2
螺	luo2
凑	cou4
兹	zi1|ci2
烛	zhu2|chong2
歼	jian1
毅	yi4
杉	shan1|sha1
慨	kai3
钧	jun1
渗	shen4
蜜	mi4
遮	zhe1
窑	yao2
谐	xie2
厦	sha4|xia4
柜	gui4|ju3
匈	xiong1
喉	hou2
愧	kui4
栽	zai1|zai4
扔	reng1|reng4
苯	ben3
谊	yi4
肆	si4|ti4
霞	xia2
吵	chao3|chao1|miao3|chao4
屼	wu4
笉	qin3
夕	xi1|yi4
壶	hu2
赚	zhuan4|zuan4
尹	yin3|yun2
窄	zhai3
弓	gong1
谭	tan2
盲	mang2
勋	xun1
饲	si4
窟	ku1
俞	yu2|shu4
嗣	si4
煮	zhu3
巾	jin1
裤	ku4
膨	peng2|peng4
奠	dian4|ting2|ding4|zheng4|zun1
瞪	deng4
珞	luo4|li4
愚	yu2
膏	gao1|gao4
喘	chuan3
姜	jiang1
膀	bang3|pang1|pang2|bang4|pang3
蔬	shu1|shu3
糟	zao1
僚	liao2|liao3|lao3
匾	bian3
妄	wang4|wang2
畴	chou2
喂	wei4
沔	mian3
耻	chi3
牺	xi1
旭	xu4
妨	fang2|fang1
硅	gui1|he4
崩	beng1
雌	ci2
陛	bi4
卸	xie4
砸	za2
贩	fan4
竖	shu4
佸	huo2
攀	pan1
晒	shai4
伞	san3
惹	re3|ruo4
裹	guo3
屠	tu2
汁	zhi1|xie2|shi2
擒	qin2
鳞	lin2
佣	yong1|yong4
渴	ke3|jie2|kai4|he2
浣	huan4
叩	kou4
龟	gui1|jun1|qiu1
雀	que4|qiao1|qiao3
掀	xian1|hen2
唉	ai1|ai4|ai3
泼	po1
亥	hai4|jie1
僵	jiang1
屡	lv3
瞒	man2
哊	you4
璇	xuan2
厮	si1
刮	gua1
钩	gou1
桐	tong2|tong1|dong4
谅	liang4
隙	xi4
丞	cheng2|sheng4|zheng1|zheng3
盯	ding1|cheng2
霉	mei2
侄	zhi2
逸	yi4
浸	jin4|qin1
爪	zhao3|zhua3
阙	que1|que4
坟	fen2
咳	ke2|hai1|hai2|gai1
宠	chong3
脖	bo2|bo1
彪	biao1
朕	zhen4
虹	hong2|jiang4|hong4|gong4
衍	yan3|yan2
甸	dian1|dian4|tian2|sheng4|ying4
鳍	qi2
讼	song4
虾	xia1|ha2
芝	zhi1
涛	tao1
巩	gong3
熔	rong2
峻	jun4
怖	bu4
嘿	hei1|mo4|mu4
磕	ke1|ke3
洒	sa3|xi3|xian3|sen3|cui3|xun4
掏	tao1|tao2
枣	zao3
滞	zhi4
鈥	huo3
舅	jiu4
昔	xi1|cuo4
哑	ya3|ya1
焕	huan4
娱	yu2
芯	xin1|xin4
衷	zhong1|zhong4
捞	lao1
卦	gua4
旬	xun2|jun1
矣	yi3|xian2
茨	ci2
蜡	la4|qu4|zha4|ji2
喻	yu4|yu2
挪	nuo2
婶	shen3
琉	liu2
枕	zhen3|chen2
娇	jiao1
豹	bao4
厨	chu2
傲	ao4|ao2
腕	wan4
巢	chao2|chao4
氯	lv4
燥	zao4|sao4
焚	fen2|fen4
乖	guai1
嘱	zhu3
禄	lu4
赠	zeng4
晌	shang3
鍚	yang2
琦	qi2
铃	ling2
雁	yan4
姨	yi2
蹄	ti2|di4
焰	yan4
虏	lu3
鍒	rou2
粑	ba1
饥	ji1
潘	pan1|pan4|bo1|pan2|fan1
兀	wu4|wu1
捏	nie1
缔	di4
歪	wai1|wai3
蕴	yun4
鸦	ya1
嘻	xi1
俯	fu3
锻	duan4
骤	zhou4
庵	an1|yan3|e4
吁	xu1|yu1|yu4
剿	jiao3|chao1
禽	qin2
勉	mian3
膝	xi1
捣	dao3
茎	jing1
晴	qing2
厢	xiang1
匀	yun2|jun1|yun4
灏	hao4
涯	ya2
梨	li2
蒲	pu2|bo2
驼	tuo2
匪	fei3|fei1|fen1
撕	si1|xi1
嗯	n2|ng2|ng3|ng4|n3|n4
樊	fan2|fan4
搏	bo2
缚	fu4
垄	long3
寓	yu4
愣	leng4
斌	bin1
麋	mi2
劈	pi1|pi3
旷	kuang4
舵	duo4
薛	xue1
沸	fei4|fu2
丸	wan2
泳	yong3
绸	chou2
炬	ju4
缴	jiao3|zhuo2
寰	huan2|xian4
贱	jian4
躯	qu1
褐	he4
酶	mei2
嚷	rang3|rang1
拌	ban4|pan1
颂	song4
帜	zhi4
陡	dou3
鍏	wei2
募	mu4|bo2
佑	you4
皖	wan3|huan4
鎴	xi2
绑	bang3
啡	fei1|pei4|pai2|pei1|bai4
仑	lun2
麓	lu4
鏉	shou4|sou1
帘	lian2|chen2
镖	biao1
钠	na4
刹	sha1|cha4
妆	zhuang1
禾	he2
藤	teng2
弊	bi4
痴	chi1
哇	wa5|wa1|gui1|hua2|wa2
凰	huang2
歧	qi2
驴	lv2
铝	lv3
闸	zha2
喃	nan2|nan3
滥	lan4
耍	shua3
桶	tong3
酱	jiang4
惶	huang2
躬	gong1
熬	ao2|ao1
娥	e2
剅	lou2|dou1
啸	xiao4
淘	tao2
裙	qun2
骚	sao1
亨	heng1|xiang3|peng1
勘	kan1
窃	qie4
挫	cuo4|zuo4
凿	zao2|zuo4
塌	ta1|da1
咖	ka1|ga1|jia1
垫	dian4
芽	ya2
凸	tu1
钙	gai4
框	kuang1|kuang4|kuang2
哟	yo1|yo5
翔	xiang2
逮	dai3|dai4|di4
舶	bo2
锥	zhui1
怡	yi2
魄	po4|bo2|tuo4
灶	zao4
浴	yu4
蔽	bi4|bie1|pie1
橡	xiang4
懒	lan3
硝	xiao1|qiao4
晰	xi1
盏	zhan3
赦	she4|ce4
庐	lu2
谕	yu4
鄙	bi3
拂	fu2|bi4|pi4|fei4
菩	pu2|bei4|bo2
栗	li4|lie4
琳	lin2
沼	zhao3
圭	gui1
屿	yu3
砌	qi4|qie4
倚	yi3|ji1|yi1
棵	ke1|kuan3|ke3
瑰	gui1
羲	xi1
酿	niang4|niang2
诈	zha4
锌	xin1
杏	xing4
婉	wan3
沦	lun2
卤	lu3|xi1
躁	zao4
斧	fu3
淳	chun2|zhun1|zhun3
兔	tu4|tu2|chan1
凛	lin3
哎	ai1
阮	ruan3|yuan2
淫	yin2|yan4|yao2
剖	pou1|po3
蕲	qi2
烹	peng1
姥	lao3|mu3
咕	gu1|gu5
蚕	can2|tian3
兜	dou1
璧	bi4
搅	jiao3
帆	fan1|fan2|fan4
暇	xia2|xia4|jia3
趟	tang4|zheng1|zheng4|cheng2|tang1
裸	luo3
購	gou4
粹	cui4|sui4
吼	hou3
哗	hua1|hua2
冀	ji4
呜	wu1
瞻	zhan1
搁	ge1|ge2
乞	qi3|qi4
骇	hai4
炕	kang4|hang1
垮	kua3
拘	ju1|gou1|ju3|ju2
岃	ren4
嵌	qian4|han3|kan4
笛	di2
鹃	juan1
菊	ju2
淀	dian4
肪	fang2
鞍	an1
愉	yu2|tou1|yu3
犬	quan3
弧	hu2
蹲	dun1|zun2|cun2|zun1|cun3|cuan2|qun3
椎	chui2|zhui1
阎	yan2
浏	liu2
诵	song4
烘	hong1
榴	liu2
腥	xing1
裘	qiu2
萝	luo2
颊	jia2
蟹	xie4
灿	can4
摧	cui1|zui4|cuo4
棱	leng2|leng1|ling2|leng4|cheng1
琼	qiong2
骄	jiao1
凄	qi1
怯	qie4
淑	shu1|chu4
梢	shao1|shao4|xiao1|sao4
丙	bing3|bing4
暮	mu4
媚	mei4
钊	zhao1
沫	mo4
糯	nuo4
驳	bo2
崔	cui1
谏	jian4
炳	bing3
畔	pan4
缅	mian3
襟	jin1
锤	chui2
觅	mi4
鍑	fu4
拢	long3
胪	lu2
诀	jue2
奢	she1
苹	ping2|peng1
叮	ding1
榨	zha4
瀹	yue4|yao4
沾	zhan1|tian1|dian4|chan1
傚	xiao4
渝	yu2|yu1
枉	wang3|kuang2
辜	gu1
髓	sui3
坠	zhui4
瑟	se4
棕	zong1
萍	ping2
贿	hui4
泣	qi4|li4|se4
嫣	yan1
峨	e2
憾	han4|dan4
胺	an4|e4
甩	shuai3
陂	bei1|pi2|bi4|po1
寇	kou4
烯	xi1
钓	diao4
瞅	chou3
沧	cang1
坪	ping2
暑	shu3
耸	song3
垒	lei3
傍	bang4|pang2|beng1|peng2
睹	du3
垜	duo3|duo4
薯	shu3
溢	yi4
鏃	zu2|chuo4
谜	mi2|mei4
咋	za3|ze2|zha1|zha4
缁	zi1
嗓	sang3
贬	bian3
窜	cuan4
戟	ji3
葱	cong1|chuang1
屑	xie4
湁	chi4
胚	pei1
犁	li2
莎	sha1|suo1|sui1
囚	qiu2
颖	ying3
诡	gui3
腻	ni4
藩	fan1|fan2
彦	yan4|pan2
勫	fan1
巍	wei1
痒	yang3|yang2
蹇	jian3
芷	zhi3
赣	gan4
湪	tuan4|nuan3
沐	mu4
膊	bo2|po4|lie4
婢	bi4
粤	yue4
喧	xuan1|xuan3
逛	guang4|kuang2
贮	zhu4
恍	huang3|guang1
菇	gu1
諲	yin1
邢	xing2|geng3
绮	qi3
厥	jue2
澄	cheng2|deng4
邵	shao4
耽	dan1
讽	feng3|feng4
衬	chen4
恕	shu4
烫	tang4
毯	tan3
仕	shi4
昼	zhou4
闽	min3
拚	pan4|bian4|fen4|fan1|pin1
勿	wu4|mo4
繖	san3
桓	huan2
钾	jia3
膛	tang2|tang1
歉	qian4
膳	shan4
詹	zhan1|dan4
坎	kan3|kan4
敛	lian3
碌	lu4|liu4|luo4
狄	di2|ti4
沽	gu1|gu3
侮	wu3
垱	dang4
寝	qin3
妾	qie4
嗽	sou4|shuo4|shu4
埔	pu3|bu4
眷	juan4
揪	jiu1
牡	mu3
毙	bi4
荫	yin1|yin4
涡	wo1|guo1
鍐	zong1
桩	zhuang1
锣	luo2
釜	fu3
瀛	ying2
缮	shan4
梳	shu1
揽	lan3
咀	ju3|zui3
雍	yong1
铲	chan3
倦	juan4
岱	dai4
厄	e4|e3
弘	hong2
淤	yu1
尴	gan1
玲	ling2
鎵	jia1
祠	ci2|si4
恳	ken3
粥	zhou1|yu4
衢	qu2
戳	chuo1
秃	tu1
瀑	pu4|bao4|bo2
搂	lou3|lou1
迭	die2|yi4|da2
垃	la1|la5
缸	gang1
郝	hao3|shi4
挠	nao2
莽	mang3|mang2
瑙	nao3
瞄	miao2
粟	su4
跋	ba2|bei4
呐	na4|ne4|na5|nuo4|ne5
歹	dai3|e4|dai1
豚	tun2|dun1|dun4
驿	yi4
圾	ji1|ji2|jie2
胳	ge1|ge2|ga1
魁	kui2|kui3|kuai4
诧	cha4
绒	rong2
鞑	da2
谎	huang3
尬	ga4
陌	mo4
粬	qu1
讳	hui4
蝶	die2|tie1
咒	zhou4
裔	yi4
凳	deng4
梭	suo1|xun4
涅	nie4
杈	cha1|cha4
泻	xie4
苇	wei3
焉	yan1|yi2
娟	juan1
迦	jia1|xie4
巫	wu1
扒	ba1|pa2|bai4|bie2
翊	yi4
敷	fu1
谣	yao2
隅	yu2
撇	pie1|pie3|bie1
凹	ao1|wa1
蚁	yi3
氮	dan4
苑	yuan4|yuan1|yu4|yun4
妓	ji4|ji1
綘	feng2
潇	xiao1
禹	yu3
朽	xiu3
寮	liao2
郢	ying3|cheng2
伽	ga1|jia1|qie2
粪	fen4
诛	zhu1
醋	cu4|zuo4
栋	dong4
谴	qian3
隧	sui4|zhui4
簇	cu4|chuo4|cou4
踩	cai3|kui2
礁	jiao1
庶	shu4|zhu4|zhe1
衮	gun3
笅	jiao3
堕	duo4|hui1
噪	zao4
嘲	chao2|zhao1
濂	lian2|xian3
鲟	xun2
彝	yi2
柬	jian3
斐	fei3
沛	pei4
卞	bian4|pan2
篷	peng2
祁	qi2|zhi3
耿	geng3
嚼	jue2|jiao2|jiao4
宦	huan4
溯	su4|shuo4
黔	qian2
浇	jiao1
敞	chang3|cheng4|zheng4
绞	jiao3
瓣	ban4
傛	yong3|rong2
窦	dou4
蕃	fan1|bo1|fan2|pi2
嶅	ao2|ao4
汰	tai4
鲍	bao4
遏	e4
魅	mei4
槐	huai2
鞘	qiao4|shao1
钞	chao1
徙	xi3|si1
讶	ya4
碟	die2|she2
琐	suo3
琢	zuo2|zhuo2
滤	lv4
嗤	chi1
鐪	lu3
蠢	chun3
锰	meng3
